"year","road_user","counterparty","Sum(hospitalisations)"
2013,"Car passenger","Heavy transport vehicle or bus",167
2013,"Car passenger","Non-collision transport accident",1046
2013,"Car passenger","Other and unspecified transport accidents",91
2013,"Car passenger","Other non-motor vehicle",2
2013,"Car passenger","Pedal cycle",2
2013,"Car passenger","Pedestrian or animal",58
2013,"Car passenger","Train",3
2013,"Car unknown position","2- or 3- wheeled motor vehicle",1
2013,"Car unknown position","Car, pick-up truck or van",109
2013,"Car unknown position","Fixed or stationary object",27
2013,"Car unknown position","Heavy transport vehicle or bus",5
2013,"Car unknown position","Non-collision transport accident",78
2013,"Car unknown position","Other and unspecified transport accidents",589
2013,"Car unknown position","Other non-motor vehicle",1
2013,"Car unknown position","Pedal cycle",2
2013,"Car unknown position","Pedestrian or animal",5
2013,"Car unknown position","Train",1
2013,"Heavy transport driver","Car, pick-up truck or van",47
2013,"Heavy transport driver","Fixed or stationary object",67
2013,"Heavy transport driver","Heavy transport vehicle or bus",71
2013,"Heavy transport driver","Non-collision transport accident",223
2013,"Heavy transport driver","Other and unspecified transport accidents",3
2013,"Heavy transport driver","Pedestrian or animal",4
2013,"Heavy transport passenger","Car, pick-up truck or van",8
2013,"Heavy transport passenger","Fixed or stationary object",6
2013,"Heavy transport passenger","Heavy transport vehicle or bus",7
2013,"Heavy transport passenger","Non-collision transport accident",18
2013,"Heavy transport passenger","Other and unspecified transport accidents",1
2013,"Heavy transport unknown position","Heavy transport vehicle or bus",1
2013,"Heavy transport unknown position","Non-collision transport accident",15
2013,"Heavy transport unknown position","Other and unspecified transport accidents",13
2013,"Motorcyclist","2- or 3- wheeled motor vehicle",134
2013,"Motorcyclist","Car, pick-up truck or van",1997
2013,"Motorcyclist","Fixed or stationary object",749
2013,"Motorcyclist","Heavy transport vehicle or bus",84
2013,"Motorcyclist","Non-collision transport accident",3279
2013,"Motorcyclist","Other and unspecified transport accidents",1579
2013,"Motorcyclist","Other non-motor vehicle",12
2013,"Motorcyclist","Pedal cycle",6
2013,"Motorcyclist","Pedestrian or animal",178
2013,"Other or unknown","Car, pick-up truck or van",9
2013,"Other or unknown","Non-collision transport accident",9
2013,"Other or unknown","Other and unspecified transport accidents",514
2013,"Other or unknown","Other non-motor vehicle",4
2013,"Pedal cyclist","2- or 3- wheeled motor vehicle",14
2013,"Pedal cyclist","Car, pick-up truck or van",1387
2013,"Pedal cyclist","Fixed or stationary object",294
2013,"Pedal cyclist","Heavy transport vehicle or bus",64
2013,"Pedal cyclist","Non-collision transport accident",2786
2013,"Pedal cyclist","Other and unspecified transport accidents",1288
2013,"Pedal cyclist","Other non-motor vehicle",6
2013,"Pedal cyclist","Pedal cycle",357
2013,"Pedal cyclist","Pedestrian or animal",64
2013,"Pedal cyclist","Train",2
2013,"Pedestrian","2- or 3- wheeled motor vehicle",52
2013,"Pedestrian","Car, pick-up truck or van",2318
2013,"Pedestrian","Heavy transport vehicle or bus",132
2013,"Pedestrian","Other and unspecified transport accidents",64
2013,"Pedestrian","Other non-motor vehicle",8
2013,"Pedestrian","Pedal cycle",57
2013,"Pedestrian","Pedestrian or animal",16
2013,"Pedestrian","Train",10
2013,"Pick-up truck or van occupant","Car, pick-up truck or van",73
2013,"Pick-up truck or van occupant","Fixed or stationary object",43
2013,"Pick-up truck or van occupant","Heavy transport vehicle or bus",18
2013,"Pick-up truck or van occupant","Non-collision transport accident",78
2013,"Pick-up truck or van occupant","Other and unspecified transport accidents",12
2013,"Pick-up truck or van occupant","Other non-motor vehicle",1
2013,"Pick-up truck or van occupant","Pedestrian or animal",4
2013,"Pick-up truck or van occupant","Train",1
2014,"Bus occupant","Car, pick-up truck or van",54
2014,"Bus occupant","Fixed or stationary object",20
2014,"Bus occupant","Heavy transport vehicle or bus",18
2014,"Bus occupant","Non-collision transport accident",167
2014,"Bus occupant","Other and unspecified transport accidents",30
2014,"Car driver","2- or 3- wheeled motor vehicle",28
2014,"Car driver","Car, pick-up truck or van",5880
2014,"Car driver","Fixed or stationary object",2832
2014,"Car driver","Heavy transport vehicle or bus",513
2014,"Car driver","Non-collision transport accident",1605
2014,"Car driver","Other and unspecified transport accidents",143
2014,"Car driver","Other non-motor vehicle",21
2014,"Car driver","Pedal cycle",6
2014,"Car driver","Pedestrian or animal",83
2014,"Car driver","Train",11
2014,"Car passenger","2- or 3- wheeled motor vehicle",6
2014,"Car passenger","Car, pick-up truck or van",2352
2014,"Car passenger","Fixed or stationary object",954
2014,"Car passenger","Heavy transport vehicle or bus",181
2014,"Car passenger","Non-collision transport accident",991
2014,"Car passenger","Other and unspecified transport accidents",94
2014,"Car passenger","Other non-motor vehicle",3
2014,"Car passenger","Pedal cycle",4
2014,"Car passenger","Pedestrian or animal",38
2014,"Car passenger","Train",2
2014,"Car unknown position","Car, pick-up truck or van",127
2014,"Car unknown position","Fixed or stationary object",33
2014,"Car unknown position","Heavy transport vehicle or bus",6
2014,"Car unknown position","Non-collision transport accident",61
2014,"Car unknown position","Other and unspecified transport accidents",501
2014,"Heavy transport driver","2- or 3- wheeled motor vehicle",1
2014,"Heavy transport driver","Car, pick-up truck or van",59
2014,"Heavy transport driver","Fixed or stationary object",52
2014,"Heavy transport driver","Heavy transport vehicle or bus",50
2014,"Heavy transport driver","Non-collision transport accident",206
2014,"Heavy transport driver","Other and unspecified transport accidents",4
2014,"Heavy transport driver","Other non-motor vehicle",2
2014,"Heavy transport driver","Pedal cycle",1
2014,"Heavy transport driver","Pedestrian or animal",1
2014,"Heavy transport driver","Train",1
2014,"Heavy transport passenger","2- or 3- wheeled motor vehicle",1
2014,"Heavy transport passenger","Car, pick-up truck or van",7
2014,"Heavy transport passenger","Fixed or stationary object",9
2014,"Heavy transport passenger","Heavy transport vehicle or bus",9
2014,"Heavy transport passenger","Non-collision transport accident",29
2014,"Heavy transport unknown position","Car, pick-up truck or van",3
2014,"Heavy transport unknown position","Fixed or stationary object",3
2014,"Heavy transport unknown position","Heavy transport vehicle or bus",4
2014,"Heavy transport unknown position","Non-collision transport accident",19
2014,"Heavy transport unknown position","Other and unspecified transport accidents",17
2014,"Heavy transport unknown position","Pedal cycle",1
2014,"Heavy transport unknown position","Pedestrian or animal",1
2014,"Motorcyclist","2- or 3- wheeled motor vehicle",132
2014,"Motorcyclist","Car, pick-up truck or van",2076
2014,"Motorcyclist","Fixed or stationary object",755
2014,"Motorcyclist","Heavy transport vehicle or bus",80
2014,"Motorcyclist","Non-collision transport accident",3448
2014,"Motorcyclist","Other and unspecified transport accidents",1606
2014,"Motorcyclist","Other non-motor vehicle",12
2014,"Motorcyclist","Pedal cycle",10
2014,"Motorcyclist","Pedestrian or animal",215
2014,"Other or unknown","2- or 3- wheeled motor vehicle",0
2014,"Other or unknown","Car, pick-up truck or van",9
2014,"Other or unknown","Fixed or stationary object",3
2014,"Other or unknown","Heavy transport vehicle or bus",2
2014,"Other or unknown","Non-collision transport accident",11
2014,"Other or unknown","Other and unspecified transport accidents",481
2014,"Other or unknown","Other non-motor vehicle",1
2014,"Other or unknown","Pedestrian or animal",1
2014,"Pedal cyclist","2- or 3- wheeled motor vehicle",14
2014,"Pedal cyclist","Car, pick-up truck or van",1413
2014,"Pedal cyclist","Fixed or stationary object",361
2014,"Pedal cyclist","Heavy transport vehicle or bus",65
2014,"Pedal cyclist","Non-collision transport accident",3008
2014,"Pedal cyclist","Other and unspecified transport accidents",1395
2014,"Pedal cyclist","Other non-motor vehicle",12
2014,"Pedal cyclist","Pedal cycle",294
2014,"Pedal cyclist","Pedestrian or animal",74
2014,"Pedestrian","2- or 3- wheeled motor vehicle",62
2014,"Pedestrian","Car, pick-up truck or van",2205
2014,"Pedestrian","Heavy transport vehicle or bus",132
2014,"Pedestrian","Other and unspecified transport accidents",77
2014,"Pedestrian","Other non-motor vehicle",9
2014,"Pedestrian","Pedal cycle",50
2014,"Pedestrian","Pedestrian or animal",9
2014,"Pedestrian","Train",10
2014,"Pick-up truck or van occupant","Car, pick-up truck or van",73
2014,"Pick-up truck or van occupant","Fixed or stationary object",40
2014,"Pick-up truck or van occupant","Heavy transport vehicle or bus",17
2014,"Pick-up truck or van occupant","Non-collision transport accident",94
2014,"Pick-up truck or van occupant","Other and unspecified transport accidents",13
2014,"Pick-up truck or van occupant","Pedestrian or animal",2
2015,"Bus occupant","Car, pick-up truck or van",34
2015,"Bus occupant","Fixed or stationary object",16
2015,"Bus occupant","Heavy transport vehicle or bus",11
