"year","age_group","sex","road_user","Sum(hospitalisations)"
2012,"26-39","Male","Car unknown position",116
2012,"26-39","Male","Heavy transport driver",126
2012,"26-39","Male","Heavy transport passenger",10
2012,"26-39","Male","Heavy transport unknown position",14
2012,"26-39","Male","Motorcyclist",2043
2012,"26-39","Male","Other or unknown",79
2012,"26-39","Male","Pedal cyclist",1025
2012,"26-39","Male","Pedestrian",316
2012,"26-39","Male","Pick-up truck or van occupant",45
2012,"40-64","Female","Bus occupant",33
2012,"40-64","Female","Car driver",1646
2012,"40-64","Female","Car passenger",597
2012,"40-64","Female","Car unknown position",117
2012,"40-64","Female","Heavy transport driver",8
2012,"40-64","Female","Heavy transport passenger",5
2012,"40-64","Female","Heavy transport unknown position",5
2012,"40-64","Female","Motorcyclist",308
2012,"40-64","Female","Other or unknown",72
2012,"40-64","Female","Pedal cyclist",451
2012,"40-64","Female","Pedestrian",279
2012,"40-64","Female","Pick-up truck or van occupant",18
2012,"40-64","Male","Bus occupant",35
2012,"40-64","Male","Car driver",1745
2012,"40-64","Male","Car passenger",308
2012,"40-64","Male","Car unknown position",140
2012,"40-64","Male","Heavy transport driver",228
2012,"40-64","Male","Heavy transport passenger",10
2012,"40-64","Male","Heavy transport unknown position",23
2012,"40-64","Male","Motorcyclist",2371
2012,"40-64","Male","Other or unknown",114
2012,"40-64","Male","Pedal cyclist",1706
2012,"40-64","Male","Pedestrian",362
2012,"40-64","Male","Pick-up truck or van occupant",81
2012,"65-74","Female","Bus occupant",16
2012,"65-74","Female","Car driver",399
2012,"65-74","Female","Car passenger",222
2012,"65-74","Female","Car unknown position",42
2012,"65-74","Female","Motorcyclist",13
2012,"65-74","Female","Other or unknown",8
2012,"65-74","Female","Pedal cyclist",73
2012,"65-74","Female","Pedestrian",109
2012,"65-74","Female","Pick-up truck or van occupant",5
2012,"65-74","Male","Bus occupant",6
2012,"65-74","Male","Car driver",447
2012,"65-74","Male","Car passenger",61
2012,"65-74","Male","Car unknown position",22
2012,"65-74","Male","Heavy transport driver",19
2012,"65-74","Male","Heavy transport passenger",1
2012,"65-74","Male","Heavy transport unknown position",1
2012,"65-74","Male","Motorcyclist",153
2012,"65-74","Male","Other or unknown",22
2012,"65-74","Male","Pedal cyclist",209
2012,"65-74","Male","Pedestrian",99
2012,"65-74","Male","Pick-up truck or van occupant",14
2012,"75+","Female","Bus occupant",50
2012,"75+","Female","Car driver",435
2012,"75+","Female","Car passenger",310
2012,"75+","Female","Car unknown position",39
2012,"75+","Female","Heavy transport passenger",2
2012,"75+","Female","Motorcyclist",5
2012,"75+","Female","Other or unknown",25
2012,"75+","Female","Pedal cyclist",14
2012,"75+","Female","Pedestrian",185
2012,"75+","Female","Pick-up truck or van occupant",3
2012,"75+","Male","Bus occupant",19
2012,"75+","Male","Car driver",507
2012,"75+","Male","Car passenger",96
2012,"75+","Male","Car unknown position",27
2012,"75+","Male","Heavy transport driver",2
2012,"75+","Male","Motorcyclist",36
2012,"75+","Male","Other or unknown",42
2012,"75+","Male","Pedal cyclist",90
2012,"75+","Male","Pedestrian",166
2012,"75+","Male","Pick-up truck or van occupant",5
2012,"8-16","Female","Bus occupant",5
2012,"8-16","Female","Car driver",24
2012,"8-16","Female","Car passenger",295
2012,"8-16","Female","Car unknown position",17
2012,"8-16","Female","Motorcyclist",63
2012,"8-16","Female","Other or unknown",7
2012,"8-16","Female","Pedal cyclist",163
2012,"8-16","Female","Pedestrian",106
2012,"8-16","Female","Pick-up truck or van occupant",2
2012,"8-16","Male","Bus occupant",4
2012,"8-16","Male","Car driver",35
2012,"8-16","Male","Car passenger",273
2012,"8-16","Male","Car unknown position",14
2012,"8-16","Male","Heavy transport passenger",1
2012,"8-16","Male","Heavy transport unknown position",1
2012,"8-16","Male","Motorcyclist",415
2012,"8-16","Male","Other or unknown",22
2012,"8-16","Male","Pedal cyclist",665
2012,"8-16","Male","Pedestrian",207
2012,"8-16","Male","Pick-up truck or van occupant",8
2013,"0-7","Female","Bus occupant",4
2013,"0-7","Female","Car driver",2
2013,"0-7","Female","Car passenger",150
2013,"0-7","Female","Car unknown position",5
2013,"0-7","Female","Motorcyclist",7
2013,"0-7","Female","Other or unknown",13
2013,"0-7","Female","Pedal cyclist",57
2013,"0-7","Female","Pedestrian",54
2013,"0-7","Female","Pick-up truck or van occupant",1
2013,"0-7","Male","Bus occupant",3
2013,"0-7","Male","Car driver",2
2013,"0-7","Male","Car passenger",152
2013,"0-7","Male","Car unknown position",7
2013,"0-7","Male","Motorcyclist",30
2013,"0-7","Male","Other or unknown",11
2013,"0-7","Male","Pedal cyclist",137
