Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Road user,Hospitalisations,Bed days excluding died in hospitals within 30 days
2014,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7524,29267
2014,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,3950,16669
2014,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3272,8859
2014,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1136,8175
2014,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",213,1167
2014,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2014,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2014,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,219,1009
2014,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",385,2217
2014,Jul-Dec,Traffic,First Nations people,Motorcyclist,117,589
2014,Jul-Dec,Traffic,First Nations people,Pedal cyclist,82,256
2014,Jul-Dec,Traffic,First Nations people,Pedestrian,109,745
2014,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",7,88
2014,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2014,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2014,Jul-Dec,Traffic,First Nations people,Other or unknown,16,36
2014,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7839,29583
2014,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,3969,17490
2014,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3082,7654
2014,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1180,7792
2014,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",236,1190
2014,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2014,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2014,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,239,741
2015,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",392,1611
2015,Jan-Jun,Traffic,First Nations people,Motorcyclist,129,462
2015,Jan-Jun,Traffic,First Nations people,Pedal cyclist,87,220
2015,Jan-Jun,Traffic,First Nations people,Pedestrian,115,663
2015,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",6,51
2015,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2015,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2015,Jan-Jun,Traffic,First Nations people,Other or unknown,11,63
2015,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8189,31164
2015,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,3935,16755
2015,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3349,8079
2015,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1155,6242
2015,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",228,1039
2015,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2015,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2015,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,203,922
2015,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",491,2393
2015,Jul-Dec,Traffic,First Nations people,Motorcyclist,144,828
2015,Jul-Dec,Traffic,First Nations people,Pedal cyclist,90,204
2015,Jul-Dec,Traffic,First Nations people,Pedestrian,91,838
2015,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",9,44
2015,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,6,38
2015,Jul-Dec,Traffic,First Nations people,Bus occupant,6,78
2015,Jul-Dec,Traffic,First Nations people,Other or unknown,17,94
2015,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8503,50416
2015,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,3920,25566
2015,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3086,9934
2015,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1223,14306
2015,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",251,1728
2015,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,107,784
2015,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,129,703
2015,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,261,1426
2016,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",434,2596
2016,Jan-Jun,Traffic,First Nations people,Motorcyclist,147,589
2016,Jan-Jun,Traffic,First Nations people,Pedal cyclist,107,209
2016,Jan-Jun,Traffic,First Nations people,Pedestrian,90,670
2016,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",6,15
2016,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2016,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2016,Jan-Jun,Traffic,First Nations people,Other or unknown,13,95
2016,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8700,46124
2016,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,4138,26094
2016,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3546,11666
2016,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1228,12848
2016,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",205,1416
2016,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2016,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2016,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,281,1802
2016,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",494,2530
2016,Jul-Dec,Traffic,First Nations people,Motorcyclist,149,916
2016,Jul-Dec,Traffic,First Nations people,Pedal cyclist,83,180
2016,Jul-Dec,Traffic,First Nations people,Pedestrian,100,1023
2016,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",8,36
2016,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,5,7
2016,Jul-Dec,Traffic,First Nations people,Bus occupant,9,23
2016,Jul-Dec,Traffic,First Nations people,Other or unknown,12,37
2016,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",9172,48680
2016,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,3973,24890
2016,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3067,8310
2016,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1286,15177
2016,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",247,2306
2016,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,152,1536
2016,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,130,844
2016,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,294,1813
2017,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",434,2100
2017,Jan-Jun,Traffic,First Nations people,Motorcyclist,167,1087
2017,Jan-Jun,Traffic,First Nations people,Pedal cyclist,101,217
2017,Jan-Jun,Traffic,First Nations people,Pedestrian,100,780
2017,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",8,50
2017,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2017,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2017,Jan-Jun,Traffic,First Nations people,Other or unknown,13,25
2017,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8801,44599
2017,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,4287,25835
2017,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3505,10310
2017,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1228,13247
2017,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",250,1155
2017,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2017,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2017,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,284,1756
2017,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",504,2276
2017,Jul-Dec,Traffic,First Nations people,Motorcyclist,152,719
2017,Jul-Dec,Traffic,First Nations people,Pedal cyclist,100,235
2017,Jul-Dec,Traffic,First Nations people,Pedestrian,109,1121
2017,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",7,20
2017,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2017,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2017,Jul-Dec,Traffic,First Nations people,Other or unknown,22,122
2017,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",9100,43707
2017,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,4031,24385
2017,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3277,10537
2017,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1237,15403
2017,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",250,1832
2017,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2017,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2017,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,270,1997
2018,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",505,2530
2018,Jan-Jun,Traffic,First Nations people,Motorcyclist,160,750
2018,Jan-Jun,Traffic,First Nations people,Pedal cyclist,99,177
2018,Jan-Jun,Traffic,First Nations people,Pedestrian,96,539
2018,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",8,30
2018,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2018,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2018,Jan-Jun,Traffic,First Nations people,Other or unknown,20,184
2018,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8983,43241
2018,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,4140,26106
2018,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3522,10604
2018,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1237,10726
2018,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",265,1223
2018,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2018,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2018,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,277,1606
