calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",66,479,NT
2013,Jan-Jun,Traffic,Fixed or stationary object,39,257,NT
2013,Jan-Jun,Traffic,Non-collision transport accident,120,813,NT
2013,Jan-Jun,Traffic,Other,33,145,NT
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",2675,10680,NSW
2013,Jul-Dec,Traffic,Fixed or stationary object,855,4228,NSW
2013,Jul-Dec,Traffic,Non-collision transport accident,1347,4848,NSW
2013,Jul-Dec,Traffic,Other,1076,4398,NSW
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",1715,6287,Vic
2013,Jul-Dec,Traffic,Fixed or stationary object,613,2471,Vic
2013,Jul-Dec,Traffic,Non-collision transport accident,852,2537,Vic
2013,Jul-Dec,Traffic,Other,706,2455,Vic
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",1427,5689,Qld
2013,Jul-Dec,Traffic,Fixed or stationary object,515,1941,Qld
2013,Jul-Dec,Traffic,Non-collision transport accident,1281,4181,Qld
2013,Jul-Dec,Traffic,Other,879,3117,Qld
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",603,3495,WA
2013,Jul-Dec,Traffic,Fixed or stationary object,213,1836,WA
2013,Jul-Dec,Traffic,Non-collision transport accident,525,2288,WA
2013,Jul-Dec,Traffic,Other,332,1130,WA
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",457,2629,SA
2013,Jul-Dec,Traffic,Fixed or stationary object,167,1012,SA
2013,Jul-Dec,Traffic,Non-collision transport accident,340,1164,SA
2013,Jul-Dec,Traffic,Other,194,1055,SA
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",87,702,Tas
2013,Jul-Dec,Traffic,Fixed or stationary object,38,156,Tas
2013,Jul-Dec,Traffic,Non-collision transport accident,112,333,Tas
2013,Jul-Dec,Traffic,Other,55,316,Tas
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",85,463,ACT
2013,Jul-Dec,Traffic,Fixed or stationary object,45,170,ACT
2013,Jul-Dec,Traffic,Non-collision transport accident,82,209,ACT
2013,Jul-Dec,Traffic,Other,53,154,ACT
2013,Jul-Dec,Traffic,"Car, pick-up truck or van",58,336,NT
2013,Jul-Dec,Traffic,Fixed or stationary object,48,321,NT
2013,Jul-Dec,Traffic,Non-collision transport accident,151,983,NT
2013,Jul-Dec,Traffic,Other,46,327,NT
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",2458,10564,NSW
2014,Jan-Jun,Traffic,Fixed or stationary object,784,4213,NSW
2014,Jan-Jun,Traffic,Non-collision transport accident,1349,4627,NSW
2014,Jan-Jun,Traffic,Other,1031,3895,NSW
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",1819,6583,Vic
2014,Jan-Jun,Traffic,Fixed or stationary object,636,2845,Vic
2014,Jan-Jun,Traffic,Non-collision transport accident,980,3071,Vic
2014,Jan-Jun,Traffic,Other,802,2779,Vic
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",1289,4817,Qld
2014,Jan-Jun,Traffic,Fixed or stationary object,533,2437,Qld
2014,Jan-Jun,Traffic,Non-collision transport accident,1169,4265,Qld
2014,Jan-Jun,Traffic,Other,752,2498,Qld
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",550,2859,WA
2014,Jan-Jun,Traffic,Fixed or stationary object,217,1461,WA
2014,Jan-Jun,Traffic,Non-collision transport accident,518,2207,WA
2014,Jan-Jun,Traffic,Other,324,1518,WA
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",465,2598,SA
2014,Jan-Jun,Traffic,Fixed or stationary object,187,685,SA
2014,Jan-Jun,Traffic,Non-collision transport accident,375,1408,SA
2014,Jan-Jun,Traffic,Other,198,689,SA
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",116,607,Tas
2014,Jan-Jun,Traffic,Fixed or stationary object,49,278,Tas
2014,Jan-Jun,Traffic,Non-collision transport accident,101,426,Tas
2014,Jan-Jun,Traffic,Other,67,226,Tas
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",104,333,ACT
2014,Jan-Jun,Traffic,Fixed or stationary object,44,261,ACT
2014,Jan-Jun,Traffic,Non-collision transport accident,82,300,ACT
2014,Jan-Jun,Traffic,Other,48,126,ACT
2014,Jan-Jun,Traffic,"Car, pick-up truck or van",70,430,NT
2014,Jan-Jun,Traffic,Fixed or stationary object,44,203,NT
2014,Jan-Jun,Traffic,Non-collision transport accident,141,722,NT
2014,Jan-Jun,Traffic,Other,34,157,NT
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",2547,10144,NSW
2014,Jul-Dec,Traffic,Fixed or stationary object,805,4185,NSW
2014,Jul-Dec,Traffic,Non-collision transport accident,1334,4570,NSW
2014,Jul-Dec,Traffic,Other,1005,3842,NSW
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",1938,5845,Vic
2014,Jul-Dec,Traffic,Fixed or stationary object,632,2644,Vic
2014,Jul-Dec,Traffic,Non-collision transport accident,1000,3000,Vic
2014,Jul-Dec,Traffic,Other,716,2258,Vic
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",1448,6543,Qld
2014,Jul-Dec,Traffic,Fixed or stationary object,541,1814,Qld
2014,Jul-Dec,Traffic,Non-collision transport accident,1176,3701,Qld
2014,Jul-Dec,Traffic,Other,817,2941,Qld
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",490,3065,WA
2014,Jul-Dec,Traffic,Fixed or stationary object,222,1628,WA
2014,Jul-Dec,Traffic,Non-collision transport accident,497,2618,WA
2014,Jul-Dec,Traffic,Other,336,1233,WA
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",449,2533,SA
