calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2011,Jul-Dec,Traffic,Motorcyclist,77,372,ACT
2011,Jul-Dec,Traffic,Pedal cyclist,64,190,ACT
2011,Jul-Dec,Traffic,Pedestrian,9,177,ACT
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",116,712,NT
2011,Jul-Dec,Traffic,Motorcyclist,57,275,NT
2011,Jul-Dec,Traffic,Pedal cyclist,37,98,NT
2011,Jul-Dec,Traffic,Pedestrian,18,44,NT
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,7,21,NT
2011,Jul-Dec,Traffic,Other or unknown,8,48,NT
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2702,11003,NSW
2012,Jan-Jun,Traffic,Motorcyclist,1244,6146,NSW
2012,Jan-Jun,Traffic,Pedal cyclist,826,2268,NSW
2012,Jan-Jun,Traffic,Pedestrian,458,3275,NSW
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",66,261,NSW
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,37,247,NSW
2012,Jan-Jun,Traffic,Bus occupant,41,156,NSW
2012,Jan-Jun,Traffic,Other or unknown,56,329,NSW
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2368,7762,Vic
2012,Jan-Jun,Traffic,Motorcyclist,884,3330,Vic
2012,Jan-Jun,Traffic,Pedal cyclist,865,1984,Vic
2012,Jan-Jun,Traffic,Pedestrian,368,2069,Vic
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",68,361,Vic
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,39,181,Vic
2012,Jan-Jun,Traffic,Bus occupant,20,101,Vic
2012,Jan-Jun,Traffic,Other or unknown,57,219,Vic
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1486,6805,Qld
2012,Jan-Jun,Traffic,Motorcyclist,816,3887,Qld
2012,Jan-Jun,Traffic,Pedal cyclist,492,1263,Qld
2012,Jan-Jun,Traffic,Pedestrian,199,1503,Qld
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",63,295,Qld
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,21,114,Qld
2012,Jan-Jun,Traffic,Bus occupant,14,35,Qld
2012,Jan-Jun,Traffic,Other or unknown,75,414,Qld
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",741,4123,WA
2012,Jan-Jun,Traffic,Motorcyclist,432,2654,WA
2012,Jan-Jun,Traffic,Pedal cyclist,310,811,WA
2012,Jan-Jun,Traffic,Pedestrian,125,745,WA
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",26,166,WA
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,14,123,WA
2012,Jan-Jun,Traffic,Bus occupant,10,39,WA
2012,Jan-Jun,Traffic,Other or unknown,34,159,WA
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",541,3222,SA
2012,Jan-Jun,Traffic,Motorcyclist,213,1194,SA
2012,Jan-Jun,Traffic,Pedal cyclist,199,565,SA
2012,Jan-Jun,Traffic,Pedestrian,97,886,SA
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",15,52,SA
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,SA
2012,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,SA
2012,Jan-Jun,Traffic,Other or unknown,22,94,SA
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",128,869,Tas
2012,Jan-Jun,Traffic,Motorcyclist,64,426,Tas
2012,Jan-Jun,Traffic,Pedal cyclist,42,96,Tas
2012,Jan-Jun,Traffic,Pedestrian,32,281,Tas
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2012,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,Tas
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",131,602,ACT
2012,Jan-Jun,Traffic,Motorcyclist,84,280,ACT
2012,Jan-Jun,Traffic,Pedal cyclist,82,298,ACT
2012,Jan-Jun,Traffic,Pedestrian,13,96,ACT
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,"Car driver, passenger or unknown position",106,620,NT
2012,Jan-Jun,Traffic,Motorcyclist,52,308,NT
2012,Jan-Jun,Traffic,Pedal cyclist,19,39,NT
2012,Jan-Jun,Traffic,Pedestrian,29,290,NT
