"year","state","road_user","Sum(hospitalisations)","Sum(bed_days)"
2014,"TAS","Motorcyclist",204,787
2014,"TAS","Other or unknown",9,20
2014,"TAS","Pedal cyclist",111,357
2014,"TAS","Pedestrian",45,284
2014,"VIC","Bus occupant",57,284
2014,"VIC","Car driver, passenger or unknown position",4070,13176
2014,"VIC","Heavy transport driver, passenger or unknown position",107,609
2014,"VIC","Motorcyclist",1654,6257
2014,"VIC","Other or unknown",115,400
2014,"VIC","Pedal cyclist",1819,4236
2014,"VIC","Pedestrian",643,3741
2014,"VIC","Pick-up truck or van occupant",58,322
2014,"WA","Bus occupant",29,96
2014,"WA","Car driver, passenger or unknown position",1282,7032
2014,"WA","Heavy transport driver, passenger or unknown position",35,209
2014,"WA","Motorcyclist",865,5326
2014,"WA","Other or unknown",69,247
2014,"WA","Pedal cyclist",657,2026
2014,"WA","Pedestrian",198,1582
2014,"WA","Pick-up truck or van occupant",19,71
2015,"ACT","Bus occupant",12,51
2015,"ACT","Car driver, passenger or unknown position",275,1163
2015,"ACT","Heavy transport driver, passenger or unknown position",6,6
2015,"ACT","Motorcyclist",145,703
2015,"ACT","Pedal cyclist",222,665
2015,"ACT","Pedestrian",27,260
2015,"NSW","Bus occupant",96,628
2015,"NSW","Car driver, passenger or unknown position",5428,25378
2015,"NSW","Heavy transport driver, passenger or unknown position",163,1139
2015,"NSW","Motorcyclist",2459,13849
2015,"NSW","Other or unknown",129,747
2015,"NSW","Pedal cyclist",1793,4896
2015,"NSW","Pedestrian",951,7378
2015,"NSW","Pick-up truck or van occupant",65,316
2015,"NT","Car driver, passenger or unknown position",335,1607
2015,"NT","Motorcyclist",169,764
2015,"NT","Pedal cyclist",81,213
2015,"NT","Pedestrian",71,702
2015,"NT","Pick-up truck or van occupant",19,72
2015,"QLD","Bus occupant",40,141
2015,"QLD","Car driver, passenger or unknown position",4013,15668
2015,"QLD","Heavy transport driver, passenger or unknown position",141,828
2015,"QLD","Motorcyclist",2144,10155
2015,"QLD","Other or unknown",113,612
2015,"QLD","Pedal cyclist",1378,3660
2015,"QLD","Pedestrian",427,2825
2015,"QLD","Pick-up truck or van occupant",50,381
2015,"SA","Bus occupant",6,15
2015,"SA","Car driver, passenger or unknown position",1193,5571
2015,"SA","Heavy transport driver, passenger or unknown position",17,40
2015,"SA","Motorcyclist",549,3009
2015,"SA","Other or unknown",32,116
2015,"SA","Pedal cyclist",517,1342
2015,"SA","Pedestrian",121,922
2015,"SA","Pick-up truck or van occupant",12,96
2015,"TAS","Car driver, passenger or unknown position",325,1674
2015,"TAS","Heavy transport driver, passenger or unknown position",8,33
2015,"TAS","Motorcyclist",197,809
2015,"TAS","Other or unknown",9,65
2015,"TAS","Pedal cyclist",93,344
2015,"TAS","Pedestrian",35,450
2015,"VIC","Bus occupant",60,473
2015,"VIC","Car driver, passenger or unknown position",4558,25027
2015,"VIC","Heavy transport driver, passenger or unknown position",107,504
2015,"VIC","Motorcyclist",1694,9946
2015,"VIC","Other or unknown",122,607
2015,"VIC","Pedal cyclist",1894,5517
2015,"VIC","Pedestrian",700,7649
2015,"VIC","Pick-up truck or van occupant",63,349
2015,"WA","Bus occupant",13,100
2015,"WA","Car driver, passenger or unknown position",1372,8942
2015,"WA","Heavy transport driver, passenger or unknown position",33,261
2015,"WA","Motorcyclist",842,5135
2015,"WA","Other or unknown",70,225
2015,"WA","Pedal cyclist",621,1963
2015,"WA","Pedestrian",204,1714
2015,"WA","Pick-up truck or van occupant",8,29
2016,"ACT","Car driver, passenger or unknown position",250,1163
2016,"ACT","Motorcyclist",147,627
2016,"ACT","Other or unknown",5,5
2016,"ACT","Pedal cyclist",215,513
2016,"ACT","Pedestrian",28,277
2016,"NSW","Bus occupant",114,526
2016,"NSW","Car driver, passenger or unknown position",5639,25633
2016,"NSW","Heavy transport driver, passenger or unknown position",133,1016
2016,"NSW","Motorcyclist",2648,16375
2016,"NSW","Other or unknown",134,853
2016,"NSW","Pedal cyclist",1775,5258
2016,"NSW","Pedestrian",964,10468
2016,"NSW","Pick-up truck or van occupant",67,220
2016,"NT","Bus occupant",5,11
2016,"NT","Car driver, passenger or unknown position",374,1821
2016,"NT","Heavy transport driver, passenger or unknown position",5,11
2016,"NT","Motorcyclist",151,720
2016,"NT","Other or unknown",6,21
2016,"NT","Pedal cyclist",70,171
2016,"NT","Pedestrian",59,743
2016,"NT","Pick-up truck or van occupant",12,152
2016,"QLD","Bus occupant",41,402
2016,"QLD","Car driver, passenger or unknown position",4260,17819
2016,"QLD","Heavy transport driver, passenger or unknown position",142,852
2016,"QLD","Motorcyclist",2159,12016
2016,"QLD","Other or unknown",146,887
2016,"QLD","Pedal cyclist",1442,3920
2016,"QLD","Pedestrian",455,3419
2016,"QLD","Pick-up truck or van occupant",57,502
2016,"SA","Bus occupant",14,71
2016,"SA","Car driver, passenger or unknown position",1292,6641
2016,"SA","Heavy transport driver, passenger or unknown position",39,254
2016,"SA","Motorcyclist",546,2902
2016,"SA","Other or unknown",46,168
2016,"SA","Pedal cyclist",527,1417
2016,"SA","Pedestrian",168,1657
2016,"SA","Pick-up truck or van occupant",22,85
2016,"TAS","Car driver, passenger or unknown position",310,2040
2016,"TAS","Heavy transport driver, passenger or unknown position",8,70
2016,"TAS","Motorcyclist",171,1096
2016,"TAS","Other or unknown",15,224
2016,"TAS","Pedal cyclist",96,176
2016,"TAS","Pedestrian",41,213
2016,"TAS","Pick-up truck or van occupant",5,90
2016,"VIC","Bus occupant",63,625
2016,"VIC","Car driver, passenger or unknown position",5324,33708
2016,"VIC","Heavy transport driver, passenger or unknown position",110,1113
2016,"VIC","Motorcyclist",1806,12516
2016,"VIC","Other or unknown",173,1259
2016,"VIC","Pedal cyclist",2008,6608
2016,"VIC","Pedestrian",800,11119
2016,"VIC","Pick-up truck or van occupant",76,830
2016,"WA","Bus occupant",21,107
2016,"WA","Car driver, passenger or unknown position",1252,10058
2016,"WA","Heavy transport driver, passenger or unknown position",34,444
2016,"WA","Motorcyclist",802,6338
2016,"WA","Other or unknown",68,412
2016,"WA","Pedal cyclist",652,2264
2016,"WA","Pedestrian",166,2012
2016,"WA","Pick-up truck or van occupant",36,267
2017,"ACT","Car driver, passenger or unknown position",250,1199
2017,"ACT","Motorcyclist",119,454
2017,"ACT","Pedal cyclist",211,609
2017,"ACT","Pedestrian",34,291
2017,"NSW","Bus occupant",109,736
2017,"NSW","Car driver, passenger or unknown position",5295,23955
2017,"NSW","Heavy transport driver, passenger or unknown position",147,770
2017,"NSW","Motorcyclist",2526,16369
2017,"NSW","Other or unknown",137,1086
2017,"NSW","Pedal cyclist",1791,6632
2017,"NSW","Pedestrian",929,9657
2017,"NSW","Pick-up truck or van occupant",82,309
2017,"NT","Car driver, passenger or unknown position",366,2091
2017,"NT","Heavy transport driver, passenger or unknown position",7,44
2017,"NT","Motorcyclist",149,881
2017,"NT","Other or unknown",9,60
2017,"NT","Pedal cyclist",74,196
2017,"NT","Pedestrian",79,634
2017,"QLD","Bus occupant",28,175
2017,"QLD","Car driver, passenger or unknown position",4559,18461
2017,"QLD","Heavy transport driver, passenger or unknown position",170,1082
2017,"QLD","Motorcyclist",2208,11175
2017,"QLD","Other or unknown",135,886
2017,"QLD","Pedal cyclist",1542,4061
2017,"QLD","Pedestrian",439,3834
2017,"QLD","Pick-up truck or van occupant",53,190
2017,"SA","Bus occupant",15,44
2017,"SA","Car driver, passenger or unknown position",1151,6903
2017,"SA","Heavy transport driver, passenger or unknown position",31,102
2017,"SA","Motorcyclist",531,3244
2017,"SA","Other or unknown",55,525
2017,"SA","Pedal cyclist",469,1305
2017,"SA","Pedestrian",127,1551
2017,"SA","Pick-up truck or van occupant",15,105
2017,"TAS","Car driver, passenger or unknown position",310,1854
2017,"TAS","Heavy transport driver, passenger or unknown position",5,53
2017,"TAS","Motorcyclist",169,1044
2017,"TAS","Other or unknown",8,65
2017,"TAS","Pedal cyclist",107,626
2017,"TAS","Pedestrian",34,313
2017,"VIC","Bus occupant",73,429
2017,"VIC","Car driver, passenger or unknown position",5528,28924
2017,"VIC","Heavy transport driver, passenger or unknown position",126,764
2017,"VIC","Motorcyclist",1979,13406
2017,"VIC","Other or unknown",146,951
2017,"VIC","Pedal cyclist",2089,6055
2017,"VIC","Pedestrian",786,12837
2017,"VIC","Pick-up truck or van occupant",67,688
2017,"WA","Bus occupant",15,56
2017,"WA","Car driver, passenger or unknown position",1277,9231
2017,"WA","Heavy transport driver, passenger or unknown position",29,172
2017,"WA","Motorcyclist",931,5439
2017,"WA","Other or unknown",87,303
2017,"WA","Pedal cyclist",637,1746
2017,"WA","Pedestrian",194,1876
2017,"WA","Pick-up truck or van occupant",25,337
2018,"ACT","Car driver, passenger or unknown position",287,1210
2018,"ACT","Motorcyclist",161,1023
2018,"ACT","Other or unknown",9,41
2018,"ACT","Pedal cyclist",217,399
2018,"ACT","Pedestrian",24,228
2018,"NSW","Bus occupant",92,522
2018,"NSW","Car driver, passenger or unknown position",4469,26020
2018,"NSW","Heavy transport driver, passenger or unknown position",151,1476
2018,"NSW","Motorcyclist",2347,14941
2018,"NSW","Other or unknown",163,1282
2018,"NSW","Pedal cyclist",1681,5765
2018,"NSW","Pedestrian",823,9316
2018,"NSW","Pick-up truck or van occupant",68,202
